Gene_EGGNOG	Gene_Keio	KEGG_acc	KEGG_pathway	Locus..Klebsiella.pneumoniae.Ecl8	Locus..Klebsiella.pneumoniae.RH201207	Locus..Escherichia.coli.ST131.EC958	Locus..Escherichia.coli.UPEC.ST131.NCTC13441	Locus..Escherichia.coli.BW25113..Keio.	Locus..Escherichia.coli.BW25113	Locus..Citrobacter.rodentium.ICC168	Locus..Salmonella.Typhi.Ty2	Locus..Salmonella.Typhimurium.A130	Locus..Salmonella.Typhimurium.D23580	Locus..Salmonella.Typhimurium.SL3261	Locus..Salmonella.Typhimurium.SL1344	Locus..Salmonella.Enteritidis.P125109	DEG..Salmonella.enterica.serovar.Typhi	Enterobacteriaceae..essential	Bacteria..excluding.symbionts...essential	TraDIS.Essentiality..Klebsiella.pneumoniae.Ecl8	TraDIS.Presence..Klebsiella.pneumoniae.Ecl8	TraDIS.Essentiality..Klebsiella.pneumoniae.RH201207	TraDIS.Presence..Klebsiella.pneumoniae.RH201207	TraDIS.Essentiality..Escherichia.coli.ST131.EC958	TraDIS.Presence..Escherichia.coli.ST131.EC958	TraDIS.Essentiality..Escherichia.coli.UPEC.ST131.NCTC13441	TraDIS.Presence..Escherichia.coli.UPEC.ST131.NCTC13441	EcoGene.Essentiality..Escherichia.coli.BW25113	EcoGene.Presence..Escherichia.coli.BW25113	TraDIS.Essentiality..Escherichia.coli.BW25113	TraDIS.Presence..Escherichia.coli.BW25113	TraDIS.Essentiality..Citrobacter.rodentium.ICC168	TraDIS.Presence..Citrobacter.rodentium.ICC168	TraDIS.Essentiality..Salmonella.Typhi.Ty2	TraDIS.Presence..Salmonella.Typhi.Ty2	DEG..Salmonella.enterica.serovar.Typhi.1	TraDIS.Essentiality..Salmonella.Typhimurium.A130	TraDIS.Presence..Salmonella.Typhimurium.A130	TraDIS.Essentiality..Salmonella.Typhimurium.D23580	TraDIS.Presence..Salmonella.Typhimurium.D23580	TraDIS.Essentiality..Salmonella.Typhimurium.SL3261	TraDIS.Presence..Salmonella.Typhimurium.SL3261	TraDIS.Essentiality..Salmonella.Typhimurium.SL1344	TraDIS.Presence..Salmonella.Typhimurium.SL1344	TraDIS.Essentiality..Salmonella.Enteritidis.P125109	TraDIS.Presence..Salmonella.Enteritidis.P125109
wzyE	wzyE	-	-	BN373_49221	ERS227112_01764	EC958_4256	NCTC13441_04729	b3793	BW25113_3793	ROD_39531	t3369	STM_MW39031	STMMW_39031	SL3261_3887	SL1344_3887	SEN3733	1	64.3	22.5	3.63347433365862	1	2.88243651324021	1	2.13323734258313	1	1.45198194163413	1	1	1	-6.5	1	1.20199502213107	1	-6.5	1	1	-6.5	1	-1.65758098059026	1	-2.04058198010386	1	-6.5	1	-1.41629989528363	1
lolB	lolB	-	-	BN373_28301	ERS227112_04432	EC958_1477	NCTC13441_02633	b1209	BW25113_1209	ROD_18041	t1098	STM_MW17701	STMMW_17701	SL3261_1706	SL1344_1706	SEN1261	1	92.9	37.5	-6.5	1	-6.5	1	0.18399857881791	1	-6.5	1	1	1	-6.5	1	-6.5	1	-2.3417698111309	1	1	-6.5	1	-0.229064322257753	1	-6.5	1	-6.5	1	-1.08363588326266	1
rplY	rplY	eco03010	Ribosome	BN373_32241	ERS227112_03962	EC958_2523	NCTC13441_01524	b2185	BW25113_2185	ROD_23161	t0630	STM_MW22551	STMMW_22551	SL3261_2201	SL1344_2201	SEN2217	1	92.9	40	-6.5	1	-6.5	1	-1.44753111122866	1	-6.5	1	0	1	-6.5	1	-6.5	1	-0.611956676031256	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-1.56212364199614	1
infA	infA	-	-	BN373_15321	ERS227112_03403	EC958_0996	NCTC13441_03109	b0884	BW25113_0884	ROD_09485	t1980	STM_MW09651	STMMW_09651	SL3261_0891	SL1344_0891	SEN0857	1	92.9	80	0.747578630424056	1	-6.5	1	-6.5	1	-6.5	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-0.384202413196244	1	-6.5	1	-6.5	1	-1.31813902595144	1
def	def	-	-	BN373_43231	ERS227112_00899	EC958_3680	NCTC13441_00409	b3287	BW25113_3287	ROD_45351	t4098	STM_MW33991	STMMW_33991	SL3261_3373	SL1344_3373	SEN3234	1	92.9	67.5	3.30829037043958	1	-6.5	1	-1.61472369682595	1	-6.5	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-1.45243334635306	1	-6.5	1	-2.61421011741572	1	-0.710829691804262	1
dapD	dapD	eco00300 / eco01100 / eco01120 / eco01230	Lysine biosynthesis / Metabolic pathways / Microbial metabolism in diverse environments / Biosynthesis of amino acids	BN373_06701	ERS227112_02520	EC958_0312	NCTC13441_03812	b0166	BW25113_0166	ROD_01691	t0214	STM_MW02191	STMMW_02191	SL3261_0214	SL1344_0214	SEN0219	1	92.9	55	-6.5	1	-6.5	1	-1.03171961518104	1	-6.5	1	0	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-0.434659708916945	1
folD	folD	eco00670 / eco01100 / eco01120 / eco01200	One carbon pool by folate / Metabolic pathways / Microbial metabolism in diverse environments / Carbon metabolism	BN373_09731	ERS227112_02835	EC958_0668	NCTC13441_03446	b0529	BW25113_0529	ROD_05611	t2321	STM_MW06101	STMMW_06101	SL3261_0535	SL1344_0535	SEN0523	1	92.9	65	0.542468907249687	1	-6.5	1	-2.77008940341314	1	-6.5	1	1	1	-6.5	1	-0.490695111619975	1	-2.34817868648227	1	1	-6.5	1	-0.789409966622236	1	-2.66392814269982	1	-3.00817524668998	1	-2.29728935595089	1
folE	folE	eco00790 / eco01100	Folate biosynthesis / Metabolic pathways	BN373_31931	ERS227112_03989	EC958_2490	NCTC13441_01556	b2153	BW25113_2153	ROD_22811	t0662	STM_MW22251	STMMW_22251	SL3261_2170	SL1344_2170	SEN2186	1	92.9	65	-6.5	1	-1.92934000850037	1	-6.5	1	-1.64583443539678	1	0	1	-1.05099776689073	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-0.865296832443175	1
ssb	ssb	eco03030 / eco03430 / eco03440	DNA replication / Mismatch repair / Homologous recombination	BN373_00531	ERS227112_01918	EC958_4529	NCTC13441_04413	b4059	BW25113_4059	ROD_36301	t4161	STM_MW42061	STMMW_42061	SL3261_4192	SL1344_4192	SEN4025	1	92.9	70	-6.5	1	0.65460703015595	1	-6.5	1	-2.36004312566372	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-0.00647068385438497	1	-0.57195196120896	1	-6.5	1	-2.73162780814656	1	-2.08919460103494	1
rpoH	rpoH	-	-	BN373_44621	ERS227112_00758	EC958_3855	NCTC13441_00239	b3461	BW25113_3461	ROD_43611	t3954	STM_MW35571	STMMW_35571	SL3261_3533	SL1344_3533	SEN3391	1	92.9	52.5	-1.19366899526451	1	-3.21110117067804	1	-3.58119363591892	1	-1.42525063398865	1	0	1	-0.445120562890675	1	-1.57047935049217	1	-6.5	1	1	-2.31368047138746	1	-2.50438644070154	1	-1.70749926050911	1	-2.66059667205714	1	-1.97931904785471	1
map	map	-	-	BN373_06731	ERS227112_02522	EC958_0314	NCTC13441_03810	b0168	BW25113_0168	ROD_01711	t0216	STM_MW02211	STMMW_02211	SL3261_0216	SL1344_0216	SEN0221	1	85.7	80	3.38211169440241	1	2.75739503635456	1	-6.5	1	-6.5	1	1	1	-6.5	1	-2.10123828508615	1	-6.5	1	1	-6.5	1	-2.70835151751663	1	-1.79719273558744	1	-6.5	1	-0.103337853176658	1
fbaA	fbaA	eco00010 / eco00030 / eco00051 / eco00680 / eco01100 / eco01110 / eco01120 / eco01130 / eco01200 / eco01230	Glycolysis / Gluconeogenesis / Pentose phosphate pathway / Fructose and mannose metabolism / Methane metabolism / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Carbon metabolism / Biosynthesis of amino acids	BN373_40181	ERS227112_01311	EC958_3204	NCTC13441_00831	b2925	BW25113_2925	ROD_50681	t2987	STM_MW30291	STMMW_30291	SL3261_3044	SL1344_3044	SEN2911	1	92.9	35	-1.29067324838871	1	-6.5	1	0.57495748025641	1	-2.90666353691618	1	1	1	-6.5	1	-6.5	1	-3.33861586007828	1	1	-6.5	1	-1.78317658149265	1	-1.97170609455667	1	-2.59086712904807	1	-1.31100910660975	1
thyA	thyA	eco00240 / eco00670 / eco01100	Pyrimidine metabolism / One carbon pool by folate / Metabolic pathways	BN373_38661	ERS227112_01432	EC958_5050	NCTC13441_00913	b2827	BW25113_2827	ROD_28691	t2910	STM_MW29621	STMMW_29621	SL3261_2979	SL1344_2979	SEN2843	1	92.9	77.5	-6.5	1	-6.5	1	-2.98605811742773	1	-6.5	1	0	1	-6.5	1	-6.5	1	-1.70824737234896	1	1	-6.5	1	-1.85022191176583	1	-3.04483068210612	1	-3.11380516983713	1	-0.712136203210515	1
rpsM	rpsM	eco03010	Ribosome	BN373_43351	ERS227112_00887A	EC958_3692	NCTC13441_1added	b3298	BW25113_3298	ROD_45231	t4087	STM_MW34111	STMMW_34111	SL3261_3385	SL1344_3385	SEN3246	1	92.9	92.5	-6.5	1	-6.5	1	-6.5	1	-6.5	1	0	1	-6.5	1	-1.29303208851155	1	-6.5	1	1	-6.5	1	-6.5	1	-2.20680515750584	1	-2.11693134192141	1	-1.5244093431708	1
nusA	nusA	-	-	BN373_42291	ERS227112_01023	EC958_3571	NCTC13441_00525	b3169	BW25113_3169	ROD_46631	t3205	STM_MW32871	STMMW_32871	SL3261_3260	SL1344_3260	SEN3122	1	85.7	85	-6.5	1	-2.03187212091999	1	-0.149606370852758	1	0.30968330912783	1	1	1	-6.5	1	0.0299487205340261	1	-1.10651973577027	1	1	-2.70994791352177	1	-0.825712193129487	1	-0.227841653046531	1	-0.380907437919093	1	-1.40569564174364	1
birA	birA	eco00780 / eco01100	Biotin metabolism / Metabolic pathways	BN373_49711	ERS227112_01821	EC958_5089	NCTC13441_04522	b3973	BW25113_3973	ROD_37761	t3488	STM_MW40971	STMMW_40971	SL3261_4082	SL1344_4082	SEN3927	0	78.6	42.5	-0.838907170503302	1	-2.74495427892964	1	0.51584189491341	1	-0.372073369476821	1	1	1	-1.01710560792763	1	0.0435014350105607	1	-0.295463484580704	1	0	-6.5	1	-0.865561278442584	1	-1.87594842302671	1	-1.83121779951236	1	-0.677266894008607	1
rimM	rimM	-	-	BN373_35851	ERS227112_01712	EC958_2910	NCTC13441_01133	b2608	BW25113_2608	ROD_25581	t2630	STM_MW26891	STMMW_26891	SL3261_2648	SL1344_2648	SEN2596	1	92.9	55	-6.5	1	-6.5	1	-6.5	1	-6.5	1	0	1	-6.5	1	-1.40424682158305	1	-6.5	1	1	-0.936262579816542	1	-1.04365481697545	1	-2.15506265130384	1	-2.30615107798983	1	-0.282510176996526	1
eno	eno	eco00010 / eco00680 / eco01100 / eco01110 / eco01120 / eco01130 / eco01200 / eco01230 / eco03018	Glycolysis / Gluconeogenesis / Methane metabolism / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Carbon metabolism / Biosynthesis of amino acids / RNA degradation	BN373_37671	ERS227112_01537	EC958_3048	NCTC13441_00995	b2779	BW25113_2779	ROD_30351	t2853	STM_MW29151	STMMW_29151	SL3261_2931	SL1344_2931	SEN2791	1	92.9	70	-0.597112187731796	1	-6.5	1	0.572095019493426	1	-3.11522979503511	1	1	1	-6.5	1	-2.11951520316311	1	-6.5	1	1	-2.23704088600777	1	-6.5	1	-6.5	1	-6.5	1	-2.15285258441621	1
rsgA	rsgA	-	-	BN373_01711	ERS227112_02036	EC958_4651	NCTC13441_04292	b4161	BW25113_4161	ROD_32231	t4401	STM_MW42971	STMMW_42971	SL3261_4286	SL1344_4286	SEN4119	1	71.4	42.5	0.784364027740846	1	1.30314412020163	1	0.494548915847188	1	-0.390481782618016	1	0	1	-0.429997052008732	1	-0.466459675723257	1	-3.13952051738452	1	1	-2.20427364244038	1	-1.38768713891907	1	-0.520735618619219	1	-0.808751386778581	1	-0.242219042225542	1
lysS	lysS	eco00970	Aminoacyl-tRNA biosynthesis	BN373_39851	ERS227112_01345	EC958_3171	NCTC13441_00865	b2890	BW25113_2890	ROD_49431	t2958	STM_MW30001	STMMW_30001	SL3261_3016	SL1344_3016	SEN2883	1	92.9	85	-0.418846569966097	1	-3.3370312435154	1	-0.639820743507447	1	-0.611564139574235	1	0	1	0	1	-6.5	1	-2.67019880399604	1	1	-6.5	1	-2.24990087594256	1	-6.5	1	-4.0685766157025	1	-1.38341344494244	1
tsaC	tsaC	-	-	BN373_43191	ERS227112_00903	EC958_3676	NCTC13441_00413	b3282	BW25113_3282	ROD_45391	t4102	STM_MW33951	STMMW_33951	SL3261_3369	SL1344_3369	SEN3230	1	92.9	55	-1.50500463388718	1	-1.48161899822856	1	-1.19806083457932	1	-6.5	1	1	1	-1.56680906187292	1	0.0261050555312075	1	-6.5	1	1	-6.5	1	-1.61693229647498	1	-1.87264232871337	1	-6.5	1	-2.20205003226771	1
ftsW	ftsW	-	-	BN373_05821	ERS227112_02430	EC958_0229	NCTC13441_03896	b0089	BW25113_0089	ROD_00951	t0131	STM_MW01331	STMMW_01331	SL3261_0127	SL1344_0127	SEN0128	1	92.9	62.5	-6.5	1	0.617967715601737	1	-1.5255890615638	1	-2.20923113718589	1	1	1	-0.29599003365495	1	-2.88799600711247	1	-1.33938329417097	1	1	-6.5	1	-6.5	1	-6.5	1	-3.58820299047135	1	-2.00046245832452	1
ybeY	ybeY	-	-	BN373_12641	ERS227112_03126	EC958_0777	NCTC13441_03338	b0659	BW25113_0659	ROD_06711	t2205	STM_MW07331	STMMW_07331	SL3261_0657	SL1344_0657	SEN0637	1	92.9	65	-6.5	1	-6.5	1	-0.293259662606557	1	-0.176915647998636	1	0	1	-0.884324101158924	1	-6.5	1	-6.5	1	1	-6.5	1	-1.50835724166669	1	-0.660160934715849	1	-6.5	1	-1.30768561737283	1
rplT	rplT	eco03010	Ribosome	BN373_27631	ERS227112_04495	EC958_1937	NCTC13441_02163	b1716	BW25113_1716	ROD_13401	t1216	STM_MW13431	STMMW_13431	SL3261_1270	SL1344_1270	SEN1708	1	92.9	82.5	0.316085181528743	1	-6.5	1	-6.5	1	-6.5	1	1	1	-6.5	1	-1.36929286879215	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1
rplK	rplK	eco03010	Ribosome	BN373_49761	ERS227112_01830	EC958_5094	NCTC13441_04513	b3983	BW25113_3983	ROD_37691	t3478	STM_MW41021	STMMW_41021	SL3261_4088	SL1344_4088	SEN3933	1	92.9	82.5	-6.5	1	-6.5	1	-2.63460988719773	1	-6.5	1	0	1	-6.5	1	-1.59876990478276	1	-1.93034957213553	1	1	-6.5	1	-2.50538048045289	1	-6.5	1	-1.66610197338199	1	-0.96422824952127	1
ispD	ispD	eco00900 / eco01100 / eco01110 / eco01130	Terpenoid backbone biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites / Biosynthesis of antibiotics	BN373_37531	ERS227112_01551	EC958_3018	NCTC13441_01026	b2747	BW25113_2747	ROD_30621	t2831	STM_MW28931	STMMW_28931	SL3261_2909	SL1344_2909	SEN2769	1	85.7	72.5	-6.5	1	-6.5	1	3.05179834648066	1	2.16173272478149	1	1	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-0.997882947549043	1	-6.5	1	-2.86588316732053	1	-1.69581826759577	1
fabH	fabH	eco00061 / eco01100 / eco01212	Fatty acid biosynthesis / Metabolic pathways / Fatty acid metabolism	BN373_17031	ERS227112_03567	EC958_1287	NCTC13441_02821	b1091	BW25113_1091	ROD_11531	t1727	STM_MW12021	STMMW_12021	SL3261_1130	SL1344_1130	SEN1856	1	92.9	75	-6.5	1	-6.5	1	-6.5	1	-6.5	1	0	1	-1.46562872395264	1	-6.5	1	-2.5528370460637	1	1	-6.5	1	-6.5	1	-2.28852019397803	1	-0.691977113373707	1	-1.35067797732896	1
dapB	dapB	eco00261 / eco00300 / eco01100 / eco01110 / eco01120 / eco01130 / eco01230	Monobactam biosynthesis / Lysine biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Biosynthesis of amino acids	BN373_05241	ERS227112_02375	EC958_0164	NCTC13441_03960	b0031	BW25113_0031	ROD_00341	t0066	STM_MW00651	STMMW_00651	SL3261_0065	SL1344_0065	SEN0065	1	92.9	72.5	-6.5	1	-6.5	1	-6.5	1	-6.5	1	0	1	-1.82826744123186	1	-6.5	1	-6.5	1	1	-6.5	1	-2.94002309444503	1	-1.50891680277815	1	-3.16213431394251	1	-1.32915786438676	1
rpsQ	rpsQ	eco03010	Ribosome	BN373_43471	ERS227112_00876	EC958_3704	NCTC13441_00384	b3311	BW25113_3311	ROD_45111	t4074	STM_MW34241	STMMW_34241	SL3261_3398	SL1344_3398	SEN3259	1	92.9	77.5	-6.5	1	-6.5	1	-6.5	1	-6.5	1	0	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1	-6.5	1
priA	priA	eco03440	Homologous recombination	BN373_48631	ERS227112_00352	EC958_4420	NCTC13441_04565	b3935	BW25113_3935	ROD_38111	t3523	STM_MW40601	STMMW_40601	SL3261_4044	SL1344_4044	SEN3885	1	85.7	57.5	-3.61892893963979	1	-4.65714977574062	1	-3.45266516971544	1	-4.25212705803413	1	0	1	0.440291834619356	1	-3.0930948000504	1	-4.3564832847825	1	1	-6.5	1	-2.08540872782618	1	-1.28654069009023	1	-2.66890450173624	1	-3.87586501756577	1
ubiE	ubiE	eco00130 / eco01100 / eco01110	Ubiquinone and other terpenoid-quinone biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites	BN373_49541	ERS227112_01801	EC958_4315	NCTC13441_04666	b3833	BW25113_3833	ROD_39211	t3327	STM_MW39411	STMMW_39411	SL3261_3924	SL1344_3924	SEN3765	1	85.7	60	-1.09044232235034	1	-6.5	1	0	1	0.0935943160715958	1	0	1	-0.140832770330451	1	-0.0997280131055302	1	-6.5	1	1	-2.32455149990849	1	-0.81735876234316	1	-2.55252923012067	1	-1.42548405332135	1	-0.952194249450875	1
dapA	dapA	eco00261 / eco00300 / eco01100 / eco01110 / eco01120 / eco01130 / eco01230	Monobactam biosynthesis / Lysine biosynthesis / Metabolic pathways / Biosynthesis of secondary metabolites / Microbial metabolism in diverse environments / Biosynthesis of antibiotics / Biosynthesis of amino acids	BN373_34711	ERS227112_03767	EC958_2795	NCTC13441_01250	b2478	BW25113_2478	ROD_24271	t0370	STM_MW25071	STMMW_25071	SL3261_2452	SL1344_2452	SEN2468	1	92.9	70	-1.48982201262586	1	-2.53232665757415	1	-2.82343158234638	1	-6.5	1	0	1	-6.5	1	-6.5	1	-6.5	1	1	-6.5	1	-0.372509749192917	1	-6.5	1	-6.5	1	-1.64743352746729	1
dapE	dapE	eco00300 / eco01100 / eco01120 / eco01230	Lysine biosynthesis / Metabolic pathways / Microbial metabolism in diverse environments / Biosynthesis of amino acids	BN373_34641	ERS227112_03774	EC958_2788	NCTC13441_01258	b2472	BW25113_2472	ROD_24201	t0376	STM_MW25021	STMMW_25021	SL3261_2446	SL1344_2446	SEN2462	1	92.9	57.5	-6.5	1	-6.5	1	-0.832674398420931	1	-6.5	1	0	1	-6.5	1	-2.47048086710802	1	-6.5	1	1	-1.40131234945788	1	-1.74224865699056	1	-2.97284814640309	1	-6.5	1	-2.61051044108997	1
